# Chinese given names (hanzi<TAB>pinyin) - wuxia / romance / modern novel flavour.
云	Yun
风	Feng
雪	Xue
月	Yue
星	Xing
辰	Chen
雨	Yu
霜	Shuang
烟	Yan
露	Lu
海	Hai
天	Tian
山	Shan
川	Chuan
河	He
江	Jiang
林	Lin
松	Song
竹	Zhu
梅	Mei
兰	Lan
菊	Ju
莲	Lian
玉	Yu
瑶	Yao
琳	Lin
婷	Ting
妍	Yan
婉	Wan
静	Jing
宁	Ning
安	An
平	Ping
康	Kang
健	Jian
强	Qiang
勇	Yong
军	Jun
磊	Lei
峰	Feng
鹏	Peng
飞	Fei
翔	Xiang
龙	Long
虎	Hu
鹰	Ying
剑	Jian
锋	Feng
刃	Ren
刀	Dao
玄	Xuan
冥	Ming
幽	You
影	Ying
魂	Hun
魄	Po
尘	Chen
沙	Sha
墨	Mo
白	Bai
青	Qing
丹	Dan
紫	Zi
碧	Bi
翠	Cui
苍	Cang
皓	Hao
夕	Xi
晓	Xiao
晨	Chen
夜	Ye
秋	Qiu
冬	Dong
春	Chun
夏	Xia
若	Ruo
思	Si
念	Nian
忆	Yi
梦	Meng
灵	Ling
心	Xin
柔	Rou
雅	Ya
怡	Yi
悦	Yue
晴	Qing
雨	Yu
柔	Rou
璇	Xuan
瑾	Jin
钰	Yu
铭	Ming
轩	Xuan
泽	Ze
洲	Zhou
洋	Yang
曦	Xi
岚	Lan
沐	Mu
洛	Luo
